Segment,Version,MemberReference,EnquiryMemberID,SubjectReturnCode,EnquiryControlNumber,DateProcessed,TimeProcessed,name,DateofBirth,gender,ID_Type,ID_Number,Issue_Date,Expiration_Date,Enr_Enq_id,Telephone,Tel_Extn,Tel_Type,Enr_Enq_pt,email_id,account_type_empseg,datereported_employment,occupation_code,income,net_gross_indicator,monthly_annual_indicator,DateofEntry_ErrorCode_em,ErrorCode_em,Date_CIBILRemarksCode_em,CIBILRemarksCode_em,DisputeRemarksCode_em,DisputeRemarksCode1_em,DisputeRemarksCode2_em,Acct_number,scorename,ScoreCardName,ScoreCardVersion,ScoreDate,score,ExclusionCode1,ExclusionCode2,ExclusionCode3,ExclusionCode4,ExclusionCode5,ExclusionCode6,ExclusionCode7,ExclusionCode8,ExclusionCode9,ExclusionCode10,ReasonCode1,ReasonCode2,ReasonCode3,ReasonCode4,ReasonCode5,ErrorCode,address,StateCode,PINCode,address_cat,res_code,DateReported_address,MemberShortName,Enr_Enq_pa,ReportingMemberShortName,AccountNumber,AccountType,Live/Closed,OwnershipIndicator,DateOpenedDisbursed,DateofLastPayment,DateClosed,DateReported_trades,HighCreditSanctionedAmount,CurrentBalance,AmountOverdue,Paymt_hst_01,Paymt_hst_02,Paymt_hst_03,Paymt_hst_04,Paymt_hst_05,Paymt_hst_06,Paymt_hst_07,Paymt_hst_08,Paymt_hst_09,Paymt_hst_10,Paymt_hst_11,Paymt_hst_12,Paymt_hst_13,Paymt_hst_14,Paymt_hst_15,Paymt_hst_16,Paymt_hst_17,Paymt_hst_18,Paymt_hst_19,Paymt_hst_20,Paymt_hst_21,Paymt_hst_22,Paymt_hst_23,Paymt_hst_24,Paymt_hst_25,Paymt_hst_26,Paymt_hst_27,Paymt_hst_28,Paymt_hst_29,Paymt_hst_30,Paymt_hst_31,Paymt_hst_32,Paymt_hst_33,Paymt_hst_34,Paymt_hst_35,Paymt_hst_36,Pay_Hist_Start_Date,pay_hist_end_date,suit_filed_status,Credit_Facility_Status,collateral_type,collateral_value,credit_limit,cash_limit,ROI,tenure,emi_amt,writeoff_amt_tot,writeoff_amt_prin,settlement_amt,paymt_freq,actual_paymt_amt,DateofEntry_ErrorCode_tl,ErrorCode_tl,Date_CIBILRemarksCode_tl,CIBILRemarksCode_tl,DisputeRemarksCode_tl,DisputeRemarksCode1_tl,DisputeRemarksCode2_tl,DateofEnquiry,EnquiringMemberShortName,EnquiryPurpose,EnquiryAmount,DisputeRemarksLine1,DisputeRemarksLine2,DisputeRemarksLine3,DisputeRemarksLine4,DisputeRemarksLine5,DisputeRemarksLine6,Secured/Unsecured
TUEF,12,HF/0011/H/19/10000444,HF63511002,1,2924997109,5092023,11952,,,,3,MNCDEF6768F,,,Y,7777777777,,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"602, 6th Floor, Zero One IT Park, Sr. No. 79/1, Ghorpadi, Mundhwa Road, Pune, Maharashtra 411036 · < 1 km",25,511980,6,,12062022,,N,POONAHOU,HF/0011/H/19/100004,Housing Loan,Live,1,22-08-2020,7072023,,31072023,1125000,1110498,,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,XXX,XXX,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,0,STD,STD,STD,STD,STD,STD,1072023,1082020,,,,,,,,507,,,,,,,,,,,,,,22-07-2019,NOT DISCLOSED,33,8888888,,,,,,,Secured
TUEF,12,HF/0011/H/19/10000444,HF63511002,1,2924997109,5092023,11952,,,,,,,,,5555555555,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"602, 6th Floor, Zero One IT Park, Sr. No. 79/1, Ghorpadi, Mundhwa Road, Pune, Maharashtra 411036 · < 1 km",21,511980,7,,17032021,,N,,,,,,,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,19-11-2021,NOT DISCLOSED,33,8888888,,,,,,,
TUEF,12,HF/0011/H/19/10000444,HF63511002,1,2924997109,5092023,11952,,,,,,,,,5468989736,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"602, 6th Floor, Zero One IT Park, Sr. No. 79/1, Ghorpadi, Mundhwa Road, Pune, Maharashtra 411036 · < 1 km",23,511980,8,,21062018,,N,,,,,,,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,20-08-2021,NOT DISCLOSED,33,8888888,,,,,,,
TUEF,12,HF/0011/H/19/10000444,HF63511002,1,2924997109,5092023,11952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,12-06-2021,NOT DISCLOSED,33,8888888,,,,,,,
TUEF,12,HF/0011/H/19/10001212,HF63511002,1,2924997110,5092023,11955,Shubhman Gill,27101967,1,1,JKCDEF6768F,,,,9875635363,,8,Y,,2,31072021,1,,,,,,,,,,,,CIBILTUMN,9,21,5092021,621,,,,,,,,,,,,,1,,,,"602, 6th Floor, Zero One IT Park, Sr. No. 79/1, Ghorpadi, Mundhwa Road, Pune, Maharashtra 411036 · < 1 km",31,511980,7,,5032019,,N,POONAHOU,HF/0011/H/19/100012,Housing Loan,Live,1,14-08-2020,7072023,,31072023,1335000,1300557,,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,XXX,XXX,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,0,STD,STD,STD,STD,STD,STD,1072023,1082020,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,Secured
TUEF,12,HF/0011/H/19/10001212,HF63511002,1,2924997110,5092023,11955,,,,3,EFCDEF6768F,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"602, 6th Floor, Zero One IT Park, Sr. No. 79/1, Ghorpadi, Mundhwa Road, Pune, Maharashtra 411036 · < 1 km",23,511980,8,,25102017,,N,NOT DISCLOSED,,Personal Loan,Closed,4,24-04-2003,,29112006,31122016,200000,0,,STD,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,1122016,1122016,,,,,,,14,48,,,,,3,,,,,,,,,,,,,,,,,,,Unsecured
TUEF,12,HF/0011/H/19/10001212,HF63511002,1,2924997110,5092023,11955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"602, 6th Floor, Zero One IT Park, Sr. No. 79/1, Ghorpadi, Mundhwa Road, Pune, Maharashtra 411036 · < 1 km",33,511980,6,,31122015,,,,,,,,,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUEF,12,HF/0011/H/19/10001919,HF63511002,1,2924997111,5092023,11959,Jasprit Bumrah,2021999,2,1,ABCDEF6768F,,,,3232323232,,8,,abc@gmail.com,6,31072022,5,,,,,,,,,,,,CIBILTUMN,2,13,5092021,721,,,,,,,,,,,3,8,7,2,,,"602, 6th Floor, Zero One IT Park, Sr. No. 79/1, Ghorpadi, Mundhwa Road, Pune, Maharashtra 411036 · < 1 km",21,511980,5,,28022023,,,NOT DISCLOSED,,Consumer Loan,Live,1,28-06-2021,22102022,,31072023,28257,1951,4314,425,394,364,333,303,272,244,213,182,152,152,122,91,60,60,60,58,58,30,29,59,29,28,29,0,0,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,1072023,1062021,,,,,,,,16,1953,,,,3,1950,,,,,,,,06-04-2024,NOT DISCLOSED,33,8888888,,,,,,,Unsecured
TUEF,12,HF/0011/H/19/10001919,HF63511002,1,2924997111,5092023,11959,,,,3,CDCDEF6768F,11022009,10022029,,2343212342,,6,,abc@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"602, 6th Floor, Zero One IT Park, Sr. No. 79/1, Ghorpadi, Mundhwa Road, Pune, Maharashtra 411036 · < 1 km",23,511980,4,,16012021,,N,POONAHOU,HF/0011/H/19/100071,Housing Loan,Live,1,30-08-2020,28072023,,31072023,900000,848124,59917,147,116,86,55,25,22,25,25,STD,STD,XXX,XXX,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,0,STD,STD,STD,STD,STD,STD,1072023,1082020,,,,,,,,226,,,,,,,,,,,,,,17-02-2022,NOT DISCLOSED,33,8888888,,,,,,,Secured
TUEF,12,HF/0011/H/19/10001919,HF63511002,1,2924997111,5092023,11959,,,,,,,,,5432154321,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"602, 6th Floor, Zero One IT Park, Sr. No. 79/1, Ghorpadi, Mundhwa Road, Pune, Maharashtra 411036 · < 1 km",21,511980,9,,31052021,,,POONAHOU,HF/0011/H/19/100019,Housing Loan,Live,1,18-08-2020,28072023,,31072023,1267000,1193955,84254,147,116,86,83,53,53,56,55,55,55,XXX,XXX,86,55,55,24,25,53,56,25,24,STD,STD,STD,STD,STD,STD,STD,STD,0,STD,STD,STD,STD,STD,STD,1072023,1082020,,,,,,,,226,,,,,,,,,,,,,,20-01-2022,NOT DISCLOSED,33,8888888,,,,,,,Secured
